State,City,%medianIncome,%highSchoolAbove25,%belowPoverty,%White,%Black,%NativeAmerican,%Asian,%Hispanic,ID
GA,Toccoa city,33527,83.1,23.2,73.1,21.8,0.4,1.1,2.4,CS5097
GA,Toomsboro city,30563,67.6,19.4,49.4,47.2,0.4,0,1.1,CS5098
GA,Trenton city,34052,79.9,25.3,95.5,0.7,0.3,0.8,3.2,CS5099
GA,Trion town,39942,67.8,28,77.1,2.1,0.3,1,21,CS5100
GA,Tucker CDP,60656,92.6,16.6,63,22.3,0.4,7.4,10.6,CS5101
GA,Tunnel Hill city,47037,81.6,4.4,93.5,3.7,0.7,0.2,3.5,CS5102
GA,Turin town,86875,92.7,6.3,90.9,8.4,0,0.4,1.5,CS5103
GA,Twin City city,22829,68.3,55.2,44.4,53.5,0.1,0.3,1.8,CS5104
GA,Tybee Island city,65545,93.4,19,93.5,3.1,0.5,1.2,1.5,CS5105
GA,Tyrone town,82500,91.6,11.8,67.5,25.3,0.2,3.4,3.6,CS5106
GA,Ty Ty city,27440,76,36,59.3,34.9,0.1,1,6.1,CS5107
GA,Unadilla city,30156,63.9,30,34,62.5,0.1,0.5,6.3,CS5108
GA,Union City city,34966,85.9,27.1,11.1,82.3,0.2,0.9,7,CS5109
GA,Union Point city,20944,71.7,45.5,42.2,53.2,0.5,0.3,5.3,CS5110
GA,Unionville CDP,17088,66.5,41,1,96.1,0.3,0.1,2.2,CS5111
GA,Uvalda city,27596,82.3,40.2,60.4,34.8,0,0.5,3.2,CS5112
GA,Valdosta city,29336,82.6,35,43.3,51.1,0.3,1.7,4,CS5113
GA,Varnell city,52969,84.4,8.8,83,4.3,0.6,2.8,17.3,CS5114
GA,Vernonburg town,140156,99,2.4,98.4,0,0,1.6,0,CS5115
GA,Vidalia city,36077,79.8,22.8,54.3,40.7,0.2,1.4,4.6,CS5116
GA,Vidette city,63750,80.6,3.1,67.9,27.7,0,1.8,0.9,CS5117
GA,Vienna city,24250,78,42.7,24.9,68.8,0.1,0.5,8,CS5118
GA,Villa Rica city,48268,87.2,18.1,58.3,33.5,0.3,1.7,7.6,CS5119
GA,Vinings CDP,68610,95.8,5.5,63.5,28.1,0.2,4.2,5.2,CS5120
GA,Waco city,35781,70.2,15.4,97.1,1.4,0,0.2,1.2,CS5121
GA,Wadley city,23097,68.5,33.7,17.4,79.2,0.1,0.6,4.8,CS5122
GA,Waleska city,39250,78.3,19.9,85.1,8.9,0.2,1.4,3.7,CS5123
GA,Walnut Grove city,52159,84.7,8.4,90.1,5.3,0.3,0.7,3.5,CS5124
GA,Walthourville city,38424,86.4,27.6,31.6,57.7,0.7,1.4,8.3,CS5125
GA,Warm Springs city,32279,72.1,30.4,66.6,31.3,0.5,0.9,0.9,CS5126
GA,Warner Robins city,42795,89,23.1,53.2,37.1,0.4,2.6,7.6,CS5127
GA,Warrenton city,18472,62.4,45.2,27.2,70.6,0.3,0.8,1.3,CS5128
GA,Warwick city,22743,64.1,38.5,35.2,63.8,0.2,0.5,0,CS5129
GA,Washington city,28857,82.5,28.1,36,60.5,0.2,0.7,1.5,CS5130
GA,Watkinsville city,57917,91.4,7.7,87.6,6.3,0.2,2.4,4.3,CS5131
GA,Waverly Hall town,43000,82.1,14.9,57.8,38.1,1,0.4,2.7,CS5132
GA,Waycross city,25082,80.6,36.3,40.7,55.1,0.3,0.8,2.8,CS5133
GA,Waynesboro city,23117,75,41.2,26.4,70.7,0,0.4,2,CS5134
GA,Webster County unified government,37063,75.7,22.5,54,42.3,0,0.3,3.5,CS5135
GA,West Point city,31955,79.8,28.4,39.1,57.7,0.2,1,2.5,CS5136
GA,Whigham city,37708,73.4,30.5,61.1,35.9,2.1,0,0.8,CS5137
GA,White city,35125,78.6,20.2,85.5,3.4,0,0,11,CS5138
GA,Whitemarsh Island CDP,57378,97.2,11,82.6,8.5,0.1,6.1,3,CS5139
GA,White Plains city,34886,95.9,5.9,59.2,40.5,0,0,0.4,CS5140
GA,Whitesburg city,36000,68.7,18.8,85,12.8,0.2,0,3.6,CS5141
GA,Willacoochee city,26518,62.9,44.2,44.4,36.2,1.1,0.2,23.1,CS5142
GA,Williamson city,42750,77.1,10.4,84.1,9.9,0,0.6,0.9,CS5143
GA,Wilmington Island CDP,68534,96.9,5.2,91.1,3.8,0.2,2.6,3.1,CS5144
GA,Winder city,42611,78,19.8,71.8,18.2,0.2,2,9.8,CS5145
GA,Winterville city,55833,93.7,14,73.4,21.8,0.3,0.4,5.3,CS5146
GA,Woodbine city,39359,80.4,29.8,57.2,39.4,0.8,0.1,2.3,CS5147
GA,Woodbury city,26875,71.9,38.5,39.6,59.8,0,0.3,0.5,CS5148
GA,Woodland city,26786,63.8,27.6,23.3,75.2,0.7,0,0,CS5149
GA,Woodstock city,68504,95.5,7,79.3,10.2,0.2,4.5,9.7,CS5150
